update,total_loss,policy_loss,value_loss,entropy
1142,-0.0081,0.0002,0.0025,0.9566
1143,0.0065,0.0004,0.0316,0.9661
1144,-0.0014,0.001,0.0145,0.969
1145,-0.0084,-0.0004,0.0034,0.9756
1146,-0.0066,0.0012,0.0038,0.9729
1147,-0.0058,0.0005,0.0067,0.9685
1148,-0.0061,0.0006,0.0058,0.9583
1149,-0.0035,0.0003,0.0117,0.9579
1150,-0.0057,0.0,0.0078,0.9622
1151,0.0003,0.0008,0.0182,0.9607
1152,0.0049,0.0003,0.0285,0.9702
1153,-0.0045,-0.0003,0.011,0.9692
1154,-0.0069,-0.0002,0.0059,0.9702
1155,-0.0029,0.0008,0.0121,0.9724
1156,-0.0088,-0.0004,0.003,0.9848
1157,-0.0066,-0.0003,0.0071,0.983
1158,-0.0048,0.0004,0.0092,0.9809
1159,-0.0079,-0.0008,0.0055,0.9791
1160,-0.0055,-0.0003,0.0092,0.9781
1161,-0.0035,0.0001,0.0125,0.9856
1162,0.0216,-0.0002,0.0635,0.9876
1163,-0.0008,0.0006,0.0169,0.9858
1164,-0.0049,0.0006,0.0088,0.9893
1165,-0.0045,0.0005,0.0102,1.0143
1166,0.0049,-0.0006,0.0315,1.0278
1167,-0.0033,-0.0001,0.0137,1.0064
1168,-0.0079,-0.0005,0.0054,1.0088
1169,-0.0083,-0.0005,0.0046,1.0062
1170,-0.0029,0.0002,0.0139,1.0035
1171,-0.0044,-0.0002,0.0113,0.9883
1172,0.0,-0.0003,0.0207,1.0049
1173,0.0063,-0.0004,0.0333,1.0037
1174,0.0002,-0.0004,0.021,0.9958
1175,-0.0036,0.0001,0.0123,0.9929
1176,-0.0051,0.0002,0.0093,0.9954
1177,0.0037,-0.0003,0.0278,0.991
1178,-0.0097,-0.0015,0.0037,1.0113
1179,-0.008,0.0002,0.0038,1.0055
1180,0.0016,-0.0001,0.0234,1.0002
1181,-0.0047,0.0006,0.0095,0.9983
1182,0.0142,-0.0,0.0484,0.9992
1183,-0.0044,0.0002,0.0109,0.9992
1184,-0.0064,0.0002,0.0065,0.991
1185,-0.0048,0.0004,0.0095,0.9874
1186,-0.0083,-0.0011,0.0053,0.9831
1187,0.0026,-0.0007,0.0263,0.9918
1188,0.0025,0.0004,0.0239,0.9881
1189,-0.0078,0.0003,0.0041,1.0093
1190,-0.0078,-0.0003,0.0052,1.0063
1191,-0.0083,0.0004,0.0026,0.998
1192,-0.0087,-0.0005,0.0036,0.9943
1193,0.0158,-0.0005,0.0526,0.9946
1194,0.0015,-0.0,0.023,0.9999
1195,0.0148,-0.0012,0.0519,0.9914
1196,-0.0057,0.0005,0.0072,0.9862
1197,0.0141,0.0002,0.0478,0.9958
1198,0.0068,0.0008,0.0323,1.0126
1199,-0.007,0.0001,0.0056,0.9836
1200,-0.0078,-0.0,0.0044,0.999
1201,-0.0088,-0.0008,0.0039,0.9989
1202,-0.0064,-0.0003,0.0077,0.9909
1203,-0.0045,-0.0001,0.0108,0.9841
1204,0.0044,0.0005,0.0275,0.9818
1205,-0.0036,0.0002,0.012,0.9802
1206,-0.0052,0.0008,0.0074,0.9732
1207,-0.0067,-0.0001,0.0064,0.982
1208,-0.0062,-0.0,0.0072,0.9806
1209,-0.0057,-0.0006,0.0096,0.9806
1210,-0.0076,-0.0008,0.006,0.9767
1211,-0.0,0.0001,0.0196,0.9987
1212,-0.0084,-0.0001,0.0032,0.9962
1213,0.0026,-0.0004,0.0258,0.987
1214,-0.0029,0.0001,0.0135,0.9833
1215,0.0078,-0.0007,0.0365,0.976
1216,0.0004,0.0014,0.0179,0.9874
1217,-0.0065,0.0,0.0066,0.9803
1218,-0.0074,0.0008,0.0034,0.9854
1219,-0.0046,0.0009,0.0086,0.9818
1220,-0.0037,0.0001,0.0123,0.9885
1221,-0.0048,-0.0001,0.0103,0.9849
1222,-0.0082,0.0001,0.0034,0.9981
1223,-0.0075,-0.0006,0.0063,1.003
1224,-0.0043,0.0012,0.0089,0.9935
1225,-0.0075,0.0001,0.0046,0.992
1226,-0.006,-0.0005,0.0088,0.9921
1227,-0.0054,0.0014,0.0063,0.9946
1228,-0.0061,-0.0008,0.009,0.9849
1229,-0.0064,0.0001,0.0068,0.9867
1230,0.0021,0.0003,0.0231,0.9814
1231,0.0066,-0.0002,0.0334,0.9932
1232,-0.0056,0.0015,0.0056,0.989
1233,-0.0084,-0.0002,0.0035,1.0001
1234,-0.0088,0.0002,0.0022,1.0028
