update,total_loss,policy_loss,value_loss,entropy
524,-0.018,-0.0065,0.0037,1.3371
525,-0.0106,-0.0014,0.0084,1.3371
526,-0.0163,-0.0073,0.0085,1.3365
527,-0.0109,-0.0045,0.0139,1.3364
528,-0.0053,-0.0035,0.0231,1.3384
529,-0.0104,-0.0078,0.0216,1.3375
530,-0.0228,-0.0118,0.0047,1.3364
531,-0.0114,-0.0011,0.0061,1.3336
532,-0.0101,-0.0052,0.0169,1.3318
533,-0.0054,-0.0006,0.0171,1.3324
534,-0.0047,0.0041,0.009,1.3319
535,-0.0069,-0.0013,0.0155,1.333
536,-0.0118,-0.0048,0.0126,1.3322
537,0.0062,-0.0008,0.0406,1.3349
538,0.0011,0.0015,0.0259,1.3343
539,-0.0107,-0.0037,0.0128,1.3356
540,-0.0107,0.0006,0.0042,1.3394
541,-0.0113,-0.0035,0.0111,1.334
542,-0.0107,-0.0027,0.0106,1.333
543,-0.0129,-0.0056,0.0121,1.3343
544,0.0001,0.0046,0.0178,1.3341
545,-0.0044,-0.0027,0.0233,1.3369
546,-0.0048,0.0021,0.0128,1.3369
547,-0.0141,-0.0036,0.0057,1.3378
548,-0.0166,-0.0103,0.0142,1.338
549,-0.0165,-0.0058,0.0055,1.337
550,-0.0108,0.0018,0.0015,1.338
551,-0.0121,-0.0042,0.0109,1.3357
552,-0.0097,-0.0014,0.01,1.3347
553,-0.0132,-0.0013,0.0029,1.3356
554,-0.0073,-0.0044,0.021,1.336
555,-0.0096,-0.0011,0.0097,1.3378
556,-0.0098,-0.0022,0.0115,1.3372
557,-0.007,0.0022,0.0084,1.3383
558,-0.0112,-0.0001,0.0045,1.3365
559,-0.0102,0.0007,0.005,1.336
560,-0.0279,-0.016,0.003,1.3384
561,-0.0096,-0.0054,0.0182,1.3343
562,-0.0121,-0.0023,0.0069,1.3337
563,-0.0149,-0.0059,0.0087,1.3339
564,-0.0143,-0.0068,0.0117,1.3346
565,-0.0057,-0.0014,0.0182,1.3367
566,-0.0191,-0.0084,0.0053,1.3354
567,-0.0118,-0.0009,0.0048,1.3355
568,-0.0046,0.0015,0.0145,1.3343
569,-0.0062,-0.0021,0.0184,1.3336
570,-0.0223,-0.0101,0.0023,1.3332
571,-0.0163,-0.006,0.0059,1.3319
572,-0.0088,-0.0,0.0091,1.3312
573,-0.0155,-0.0041,0.0039,1.3313
574,-0.0079,0.0007,0.0094,1.3322
575,-0.011,-0.0031,0.0107,1.3334
576,-0.0103,-0.0052,0.0164,1.3321
577,-0.002,-0.0004,0.0234,1.332
578,-0.0173,-0.0055,0.0031,1.3326
579,-0.0139,-0.0055,0.0099,1.3324
580,-0.019,-0.0072,0.0031,1.3325
581,-0.0061,-0.001,0.0164,1.331
582,-0.0136,-0.0019,0.0032,1.3307
583,-0.0164,-0.0047,0.0033,1.3312
584,-0.0076,-0.0011,0.0136,1.3316
585,-0.0109,-0.0006,0.0059,1.3313
586,-0.0027,-0.0008,0.0229,1.3303
587,-0.0029,0.0006,0.0195,1.3326
588,-0.0134,-0.0028,0.0054,1.3322
589,-0.0108,-0.0034,0.0119,1.3313
590,-0.018,-0.0061,0.003,1.3309
591,-0.0122,-0.0072,0.0167,1.3299
592,-0.0078,0.0018,0.0074,1.3289
593,-0.0184,-0.0068,0.0032,1.3299
594,-0.0059,0.0037,0.0074,1.3299
595,-0.0112,-0.001,0.0062,1.3312
596,-0.0146,-0.0034,0.0041,1.3313
