update,total_loss,policy_loss,value_loss,entropy
1302,0.012,-0.0004,0.0496,1.246
1303,0.0171,0.0011,0.0568,1.2472
1304,0.0081,-0.0008,0.043,1.2508
1305,-0.0007,-0.0009,0.0253,1.2462
1306,0.0034,0.0,0.0317,1.2454
1307,0.0033,0.0019,0.0276,1.2465
1308,-0.0002,0.0009,0.0228,1.2498
1309,-0.0021,-0.0007,0.0221,1.2485
1310,-0.0092,-0.0012,0.0089,1.2465
1311,0.011,-0.0003,0.0474,1.2454
1312,0.0012,-0.0008,0.0289,1.2468
1313,0.0821,-0.0003,0.19,1.2542
1314,0.0323,-0.0011,0.0923,1.2742
1315,0.0688,0.0005,0.1621,1.2779
1316,0.0246,-0.0014,0.0777,1.2843
1317,0.0444,-0.0001,0.1146,1.2803
1318,0.0048,0.0002,0.0348,1.2766
1319,0.0184,0.0003,0.0614,1.261
1320,-0.0075,0.0002,0.0097,1.2503
1321,0.0237,-0.0003,0.073,1.246
1322,0.028,-0.0,0.0811,1.2505
1323,0.0348,0.0003,0.094,1.255
1324,0.0167,-0.0,0.0588,1.2692
1325,0.0158,-0.0006,0.058,1.257
1326,0.0011,-0.0009,0.0289,1.2471
1327,0.0083,-0.0,0.0417,1.2468
1328,0.0051,-0.0002,0.0355,1.2473
1329,0.0036,-0.0021,0.0363,1.2467
1330,-0.0041,0.0026,0.0116,1.2473
1331,0.0148,0.0005,0.0536,1.2453
1332,0.0044,0.0007,0.0322,1.2452
1333,0.0064,0.0006,0.0366,1.2484
1334,0.0137,0.0001,0.0525,1.2599
1335,0.0268,0.0011,0.0767,1.259
1336,0.0052,0.0007,0.0341,1.2568
1337,-0.0009,-0.0004,0.024,1.2508
1338,0.0077,0.0002,0.0398,1.2473
1339,0.0066,-0.0003,0.0388,1.2485
1340,-0.0121,-0.0036,0.0078,1.2451
1341,0.0128,-0.0009,0.0522,1.2442
1342,-0.0006,0.0002,0.0234,1.244
1343,0.0018,0.0001,0.0283,1.2431
1344,0.0055,-0.0011,0.0382,1.2483
